,team_id,team_name
762,276216,Iberian Soul
763,276214,PARIVISION
764,276212,9INE
765,276218,OG
766,276022,FUT Esports
767,276002,ENCE
768,276012,JiJieHao
769,276010,TEAM NEXT LEVEL
770,276000,BetBoom Team
771,276020,Nemiga Gaming
772,276008,OG
773,276018,Iberian Soul
774,275990,Passion UA
775,276016,FUT Esports
776,276006,ECSTATIC
777,276014,Nemiga Gaming
778,276004,TEAM NEXT LEVEL
779,275998,ENCE
780,275988,BIG
781,275996,Fnatic
782,275986,Ninjas in Pyjamas
783,275994,ENCE
784,275984,BIG
785,275688,Heroic
786,275692,Fnatic
787,275690,Ninjas in Pyjamas
788,275686,GamerLegion
789,275680,FUT Esports
790,275676,Nemiga Gaming
791,275672,TEAM NEXT LEVEL
792,275684,ECSTATIC
793,275670,BIG
794,275682,OG
795,275678,BetBoom Team
796,275674,Passion UA
797,275420,Team Vitality
798,275422,Aurora Gaming
799,275384,MOUZ
800,275388,The Mongolz
801,275394,FURIA Esports
802,275386,Team Spirit
803,275390,FaZe Clan
804,275392,Natus Vincere
805,274564,Heroic
806,274546,Team Vitality
807,274554,Aurora Gaming
808,274552,The Mongolz
809,274576,Legacy
810,274570,paiN Gaming
811,274548,MOUZ
812,274560,FURIA Esports
813,274568,Astralis
814,274550,Team Spirit
815,274558,Natus Vincere
816,274566,Virtus.pro
817,274556,FaZe Clan
818,274562,G2 Esports
819,274572,Team Liquid
820,274574,B8 Esports
821,274284,MOUZ
822,274280,Team Vitality
823,274282,Team Spirit
824,274276,MOUZ
825,274278,The Mongolz
826,274266,FURIA Esports
827,274274,FaZe Clan
828,274260,Team Vitality
829,274268,MOUZ
830,274272,Natus Vincere
831,274270,Aurora Gaming
832,274262,Team Falcons
833,274264,G2 Esports
834,274140,Team Liquid
835,274134,Aurora Gaming
836,274136,Ninjas in Pyjamas
837,274138,MOUZ
838,274132,Astralis
839,274130,Team Vitality
840,274126,Team Falcons
841,274128,GamerLegion
842,273616,Team Spirit
843,273610,MOUZ
844,273612,Natus Vincere
845,273614,Aurora Gaming
846,273602,Team Vitality
847,273608,The Mongolz
848,273606,Team Falcons
849,273604,G2 Esports
850,274116,Team 3DMAX
851,274114,Astralis
852,274112,Virtus.pro
853,274118,Team Liquid
854,274074,BIG
855,274064,Astralis
856,274070,MIBR
857,274072,FaZe Clan
858,274068,Team 3DMAX
859,274066,B8 Esports
860,274060,GamerLegion
861,274062,Complexity
862,273588,Team Liquid
863,273592,Ninjas in Pyjamas
864,273586,FaZe Clan
865,273590,Team 3DMAX
866,273600,FlyQuest
867,273598,Astralis
868,273594,GamerLegion
869,273596,TYLOO
870,273844,Astralis
871,273840,BetBoom Team
872,273842,TYLOO
873,273832,GamerLegion
874,273834,Astralis
875,273838,SAW
876,273836,TYLOO
877,273572,BetBoom Team
878,273562,MIBR
879,273542,FURIA Esports
880,273552,Team 3DMAX
881,273570,Complexity
882,273560,TYLOO
883,273568,BetBoom Team
884,273558,Virtus.pro
885,273550,Lynn Vision Gaming
886,273540,GamerLegion
887,273548,Team 3DMAX
888,273538,Wildcard Gaming
889,273556,Astralis
890,273566,Heroic
891,273554,Virtus.pro
892,273564,Complexity
893,273536,SAW
894,273546,paiN Gaming
895,273544,Team 3DMAX
896,273534,GamerLegion
897,273830,TEAM NEXT LEVEL
898,273828,Nemiga Gaming
899,273824,PARIVISION
900,273826,TEAM NEXT LEVEL
901,273822,Sashi Esport
902,273820,PARIVISION
903,273812,Sashi Esport
904,273814,Nemiga Gaming
905,273818,OG
906,273816,Fnatic
907,273794,Passion UA
908,273792,Fnatic
909,273796,Nemiga Gaming
910,273798,Natus Vincere Junior
911,273786,Passion UA
912,273782,Alliance
913,273784,PARIVISION
914,273788,ESC Gaming
915,273772,Iberian Soul
916,273774,TEAM NEXT LEVEL
917,273770,Sashi Esport
918,273778,M1X
919,273790,9Pandas
920,273780,Hesta
921,273768,1win Team
922,273776,Sangal Esports
923,272628,Team Vitality
924,272974,Team USA
925,272626,The Mongolz
926,272624,MOUZ
927,272620,FaZe Clan
928,272618,Team Vitality
929,272622,FURIA Esports
930,272616,Team Spirit
931,271318,Virtus.pro
932,271316,The Mongolz
933,271314,Legacy
934,271304,Virtus.pro
935,271306,Natus Vincere
936,271302,The Mongolz
937,271312,Aurora Gaming
938,271310,Legacy
939,271308,Team 3DMAX
940,271292,paiN Gaming
941,271290,MOUZ
942,271286,FURIA Esports
943,271288,Team Spirit
944,271298,The Mongolz
945,271300,Aurora Gaming
946,271294,Team 3DMAX
947,271296,Legacy
948,271284,G2 Esports
949,271282,The Mongolz
950,271278,Team Vitality
951,271280,MOUZ
952,271276,Team Spirit
953,271274,Team 3DMAX
954,271272,Aurora Gaming
955,271270,Virtus.pro
956,271268,Team Liquid
957,271266,Natus Vincere
958,271262,The Mongolz
959,271264,Aurora Gaming
960,271260,G2 Esports
961,271258,Team Spirit
962,271256,MOUZ
963,271254,Team Vitality
964,271248,FaZe Clan
965,271250,B8 Esports
966,271252,Nemiga Gaming
967,271238,FaZe Clan
968,271240,FURIA Esports
969,271246,Team Falcons
970,271236,paiN Gaming
971,271242,TYLOO
972,271244,Nemiga Gaming
973,271226,MIBR
974,271224,OG
975,271222,paiN Gaming
976,271220,FaZe Clan
977,271232,B8 Esports
978,271234,FURIA Esports
979,271228,TYLOO
980,271230,Team 3DMAX
981,271214,MIBR
982,271218,M80
983,271212,Team Falcons
984,271216,Heroic
985,271204,FaZe Clan
986,271206,Team 3DMAX
987,271210,Virtus.pro
988,271208,paiN Gaming
989,271202,M80
990,271200,MIBR
991,271196,paiN Gaming
992,271198,FURIA Esports
993,271192,Team 3DMAX
994,271194,Virtus.pro
995,271190,FaZe Clan
996,271188,Team Falcons
997,271186,FlyQuest
998,271184,Wildcard Gaming
999,271182,NRG Esports
1000,271174,FlyQuest
1001,271172,BetBoom Team
1002,271180,Chinggis Warriors
1003,271170,OG
1004,271176,Complexity
1005,271178,Imperial Esports
1006,271158,Chinggis Warriors
1007,271160,Imperial Esports
1008,271156,B8 Esports
1009,271154,Heroic
1010,271168,Lynn Vision Gaming
1011,271166,OG
1012,271164,BetBoom Team
1013,271162,NRG Esports
1014,271150,TYLOO
1015,271146,Imperial Esports
1016,271148,Chinggis Warriors
1017,271152,Complexity
1018,271142,BetBoom Team
1019,271144,Lynn Vision Gaming
1020,271138,B8 Esports
1021,271140,Heroic
1022,269938,FlyQuest
1023,269936,Wildcard Gaming
1024,269934,Lynn Vision Gaming
1025,269932,TYLOO
1026,269930,BetBoom Team
1027,269928,B8 Esports
1028,269926,Heroic
1029,269924,Complexity
1030,270706,Team Vitality
1031,270702,Team Vitality
1032,270704,The Mongolz
1033,270698,Team Falcons
1034,270700,The Mongolz
1035,271020,G2 Esports
1036,271010,Team Vitality
1037,271026,MOUZ
1038,271036,Heroic
1039,271016,G2 Esports
1040,271018,GamerLegion
1041,271032,Heroic
1042,271034,Team Liquid
1043,271008,The Mongolz
1044,271014,FURIA Esports
1045,271030,Aurora Gaming
1046,271024,Heroic
1047,271006,Team Vitality
1048,271022,MOUZ
1049,271028,BCGame
1050,271012,Legacy
1051,270070,Aurora Gaming
1052,270062,The Mongolz
1053,270064,Lynn Vision Gaming
1054,270072,NRG Esports
1055,270066,MOUZ
1056,270058,Team Vitality
1057,270060,Team 3DMAX
1058,270068,Team Liquid
1059,270676,Astralis
1060,270678,Aurora Gaming
1061,270674,FURIA Esports
1062,270672,Aurora Gaming
1063,270416,Ninjas in Pyjamas
1064,270414,FURIA Esports
1065,270412,Astralis
1066,270410,The Mongolz
1067,270146,MIBR
1068,270144,ODDIK
1069,270142,Ninjas in Pyjamas
1070,270134,Natus Vincere
1071,270140,MIBR
1072,270138,BIG
1073,270132,Astralis
1074,270136,Ninjas in Pyjamas
